Organization,Address,Closed deals,Open deals
"OKOLA, ORIENTACIÓN, SALUD, EDUCACIÓN","AVENIDA CERVANTES S/N CASA DE LA CULTURA RODRÍGUEZ MOÑINO, CÁCERES",1,0
VEDRUNA ARTÉS,"CARRER DEL CARME 16, ARTÉS",2,2
FPEVB VEDRUNA-GRÀCIA,"CARRER GRAN DE GRÀCIA 236, BARCELONA",0,1
Escola Maria Anna Mogas,"Escola Concertada Maria Anna Mogas, Carrer de Corró, Granollers, Spain",7,0
ROBOTIX Mallorca,"METGE ROSSELL,, LLOSETA",29,1
Asimov Robotica,,9,1
FUNDACIÓ DOCTOR MASMITJÀ,"CARRER JOAN MARAGALL 56, GIRONA",1,0
ROBOTIX Toledo Xplorers 360,"C/ MARQUÉS DE MENDIGORRIA, 4, TOLEDO",16,1
ROBOTIX Girona Nova eruditio,"PSG. MARQUES DE CAMPS, 57 3r 1a, SALT",11,1
MIGUEL ALBESA CASTELLFORT,"CARRER DEL GALL 11, VINARÒS",1,0
"ROBOTIX Barcelona INVENTEM PLAY AND LEARN, SL","AV. JOSEP FERRER I DOMINGO, 20-22, 3er-1a, RUBI",21,1
SANTA MARIA DELS APÒSTOLS,"RAMBLA DE PRIM 146-152, BARCELONA",2,0
FPEVB - COL·LEGI LA IMMACULADA (SABADELL),"PASSEIG DEL DOS DE MAIG 38, SABADELL",1,1
British School of Barcelona Sitges,"The British School of Barcelona Sitges, Passeig Isaac Albéniz, Sitges, Spain",3,0
COLEGIO ROMAREDA,"CALLE PEDRO IV, 1, ZARAGOZA",0,1
ROBOTIX Barcelona INQUIRING MINDS,"VIA AUGUSTA, 43 LOCAL 1, BADALONA",12,1
ROBOTIX Barcelona NIUEDUCA SL,"CARRER BUENOS AIRES 48, 5e 3a, BARCELONA",8,1
COL·LEGI IGUALADA,"SANT JOSEP, 110-112, IGUALADA",2,0
COLEGIO BALMES SL,"PLAÇA FIGUERAS, 1 BAJOS, RUBI",2,0
ROBOTIX Barcelona TECNOLEGORIS,"RAMON TURRÓ, 248 LOCAL 1, BARCELONA",16,1
ESCOLA SANTA MARIA DEL MAR,"CARRER JUAN MANUEL MUÑOZ 5, SALOU",1,0
SILVIA SUBIRANA PARERA,"CARRER MESTRE PEDRET 22 1-1, BERGA",2,0
ROBOTIX CYL EDUCAINGENIO,"C/ NAJERA, 32, BURGOS",47,1
COL·LEGI VIROLAI,"CAMÍ ANTIC DE SANTA CREU D'OLORDA 106, MOLINS DE REI",1,1
DELEGACIÓN EN ESPAÑA DE LA FUNDACIÓN BRITISH COUNCIL,"PASEO GENERAL MARTÍNEZ CAMPOS 31, MADRID",2,0
FEM COL·LEGI LA MERCED BARCELONA,"CARRER PROVENÇA 283, BARCELONA",4,0
FUNDACIÓ JESUÏTES EDUCACIÓ - POBLE SEC,"CARRER VILÀ I VILÀ 14, BARCELONA",3,0
ESCOLA BENVIURE,"CARRER CAN PAULET 1, SANT BOI DE LLOBREGAT",1,0
ESCOLA GOYA SL,"Escola Goya, Carrer del Cavall Bernat, Terrassa, Spain",1,1
FEDAC PRATS,"CARRER ESCOLES, 4, PRATS DE LLUÇANÈS",1,0
UNIO CENTRES PRIVATS S.L.,"Carrer de la Diputació, 291, Barcelona, Spain",6,0
Robotlandia,"Paseo Marqués de Corvera, 12, 30002 Murcia, Spain",3,0
FUNDACIÓ VEDRUNA BELLPUIG,"CARRER CAMÍ DE CASTELLNOU, 7, BELLPUIG",2,1
PROYECTOS GLOBALES WERKS SL,"AVENIDA BRASIL 17 15A, MADRID",5,0
FUNDACIÓ CARME SERRALLONGA (ESCOLA ISABEL DE VILLENA),"CARRER DE JOAN MIRÓ S/N, BARCELONA",0,1
FUNDACIÓ EDUCATIVA LA MERCÈ (MARTORELL),"CARRER MUR, 36-40, MARTORELL",0,1
COL·LEGI SALESIA SANT JOAN BOSCO,"PASSEIG DE LA VALL D'HEBRON258, BARCELONA",2,0
ROBOTIX Madrid Book and Ball,"Via de las dos Castillas, MADRID",8,1
5 Ink Estudio,"ISABEL LA CATOLICA 1º 1ª, BENETUSSER",7,0
CULTURAL FLUVIA S.L.,"CARRER FLUVIÀ 64, BADALONA",2,0
VEDRUNA MOLLERUSSA,"Crist Rei 5, MOLLERUSSA",1,2
COLEGIO INTERNACIONAL SEK EL CASTILLO,"CASTILLO DE MANZANARES, S/N, VILLANUEVA DE LA CAÑADA",2,4
HEZI HAZI HEZKUNTZA ETA KIROL ZERBITZUA SL,"KURUTXAGANE 8, 2ºF, GETXO",5,1
FEDAC ANGLÈS,"CARRER DEL RAVAL 19, ANGLÈS",1,0
Paco Candel,"CARRER APRESTADORA 125, L'HOSPITALET DE LLOBREGAT",1,0
UNIVERSIDAD DE CASTILLA Y LA MANCHA- ESCUELA DE INGENIERÍA INDUSTRIAL,"Avda. Carlos III, s/n, TOLEDO",1,0
FUNDACIÓ PRIVADA EDUCATIVA VEDRUNA ÀNGELS,"PLAÇA DELS ÀNGELS 3, BARCELONA",2,1
LA ANUNCIATA IKASTETXEA. FUNDACIÓN EDUCATIVA FRANCISCO COLL,"LORETE BIDEA Nº2, DONOSTIA",0,1
FUNDACIO VEDRUNA SANT BOI,"C/ LUIS CASTELLS, 20, SANT BOI DE LLOBREGAT",2,0
