Organization,Address,Closed deals,Open deals
Institut Milà i Fontanals,"Plaça de Josep Mª Folch i Torres, 08001 Barcelona",1,0
Institut Pere Barnils,"Avinguda de Pere Barnils, 08540 Centelles, Barcelona",1,0
Institut Quercus,,1,0
Institut ABAT OLIBA,"Carretera de Barcelona, 76, 17500 Ripoll, Girona",1,0
Institut Alexandre Deulofeu,"Carrer de Joaquim Cusí i Fortunet, 17600 Figueres, Girona",1,0
INSTITUT D'ALMENAR,"Carrer Espadós, 75, 25126 Almenar, Lleida",1,0
INSTITUT Andreu Nin,"Av. Salvador Palau Rabassó, 18, 43700 El Vendrell,",2,0
Institut Baix Camp,"Carrer de Jacint Barrau, 1, 43201 Reus, Tarragona",2,0
INSTITUT CAL·LÍPOLIS,,1,0
Institut Can Vilumara,"Avinguda de Josep Tarradellas i Joan, 153, 08901 Hospitalet de Llobregat (L'), Barcelona",3,0
iNSTITUT Can Roca,"Av. de Béjar, 189, 08225 Terrassa, Barcelona",1,0
INSTITUT Caparrella,,1,0
INSTITUT CASTELLET,"Carrer del Bisbe Perelló, 08295 Sant Vicenç de Castellet, Barcelona",1,0
INSTITUT d'AURO,"Carrer Convent, 20, 08251 Santpedor, Barcelona",1,0
INSTITUT EGARA,"Carrer d'Amèrica, 55, 08228 Terrassa, Barcelona, Spain",1,0
INSTITUT EL CAIRAT,"Carrer de la Gorgonçana, 1, 08292 Esparreguera, Barcelona",1,0
INSTITUT Els Pallaresos,"av. Catalunya, 12 43151 Els Pallaresos, Tarragona",1,0
INSTITUT Emperador Carles,"c. Enric Bargés, 9-13 08014 Barcelona",1,0
insTITUT enric borràs,"Passatge dels Encants, s/n, 08914 Badalona, Barcelona",1,0
INSTITUT ERMENGOL IV,"Carrer Ermengol IV, 25337 Bellcaire d'Urgell, Lleida",1,0
INSTITUT Ernest LLuch,"Carrer de la Diputació, 11-15, 08015 Barcelona, Spain",1,0
INSTITUT Joan Amigó i Callau,"C. Serè, 10 43440 L'Espluga de Francolí",1,0
INSTITUT Gabriel Ferrater i Soler,"Ctra. de Montblanc, 5-9, 43206 Reus, Tarragona",1,0
InsTITUT Fontanelles,"Carrer de la Cultura, 1, 43350 Les Borges del Camp,",1,0
INSTITUT FRANCESC MACIÀ,"Carrer de Joan Maragall, 42, 08940 Cornellà de Llobregat,",1,0
INSTITUT JOAN SALVAT I PAPASSEIT,"Passeig de Salvat Papasseit, 11, 08003 Barcelona",1,0
INSTITUT Joaquim Rubió i Ors,C/ Pau Claris  4 – 08830 Sant Boi de Llobregat,1,0
INSTITUT Josep Tapiró,"Carrer d'Astorga, 37-39, 43205 Reus, Tarragona",1,0
INSTITUT La Ferreria,"Poligono La Ferrería, Carrer del Progrés, 57, 08110 Moncada y Reixach, Barcelona",1,0
INSTITUT La Guineueta,"Carrer de l'Artesania, 55, 08042 Barcelona",1,0
INSTITUT La Mar de la Frau,"Carrer Mas de la Vileta, 1-3, 43850 Cambrils, Tarragona",1,0
INSTITUT LA MIQUELA,"Carrer Salvador Dalí, 1,17162 Bescanó, Girona",3,0
INSTITUT Lluís de Requesens,,1,0
INSTITUT LLUÍS DOMÈNECH i MONTANER,"c. Alumini, 48-82/cantonada c. Coure 08038 Barcelona",2,0
INSTITUT Manuel de Montsuar,"Ptda Montcada, 22, 25196 Lleida, Lérida",1,0
INSTITUT Manolo Hugué,"Carrer Josep Maria Germà, 2, 08140 Caldes de Montbui, Barcelona",1,0
INSTITUT Manuel de Pedrolo,"Av. Tarragona, 2, 25300 Tàrrega, Lleida",1,0
INSTITUT Nicolau Copèrnic,"Carrer de Torrent del Batlle, 10, 08225 Terrassa, Barcelona",4,0
INSTITUT Mercè Rodoreda,"Rambla de la Marina, 393, 08907 L'Hospitalet de Llobregat, Barcelona",1,0
INSTITUT Pau Claris,"Passeig de Lluís Companys, 18, 08018 Barcelona",1,0
INSTITUT DE PINEDA DE MAR,"Plaça d'Orient, 9 08397 Pineda de Mar",1,0
institut Poblenou,"Carrer del Dr. Trueta, 206, 08005 Barcelona",2,0
INSTITUT Roda de Berà,"Carrer de la Font, 3, 43883 Roda de Berà, Tarragona",1,0
Institut Ribera Baixa,"Carrer Aneto, 2-4, 08820 El Prat de Llobregat, Barcelona",3,0
INSTITUT Roseta Mauri,"Carrer de Jaume Vidal i Alcover, 17, 43204 Reus, Tarragona, Spain",1,0
INSTITUT Salvador Espriu,"Plaça de les Glòries Catalanes, 20, 08018 Barcelona, Spain",1,0
INSTITUT Salvador Seguí,"Carrer de Santander, 7-9, 08020 Barcelona, Spain",1,0
INSTITUT Santiago Sobrequés i Vidal,"Carrer d'En Joan Reglà, 2-4, 17003 Girona",1,0
INSTITUT SECRETARI COLOMA,"Carrer del Secretari Coloma, 25, 08025 Barcelona, Spain",1,0
INSTITUT SERRALLARGA,"Carrer Joan Benejam, 1, 17300 Blanes, Girona, Spain",1,0
INSTITUT SÒL DE RIU,"Carrer Joan Maragall, 0, 43530 Alcanar, Tarragona",1,0
INSTITUT Vallvera,"Passatge de la Fàbrica Tèxtil Coma Cros, 14 | 17190 Salt - Gironès",1,0
Institut La Ribera,"Carrer Larramendi, 08110 Montcada i Reixac, Barcelona",1,0
INSTITUT Vil·la Romana,"Carrer Santa Maria del Camí, s/n, 08530 La Garriga,",0,1
INSTITUT Miquel Martí i Pol,"Verge de Montserrat, 51 08940 Cornellà de Llobregat",1,0
INSTITUT Vall d'Arús,"Carrer Mestres Esque i Arto, 2, 08759 Vallirana, Barcelona, Spain",2,0
Institut,,1,0
Institut Alba del Vallès,"Carrer Buxó Baliarda, 5-11, 08105 Sant Fost de Campsentelles, Barcelona",1,0
INSTITUT L'ALZINA,"Passatge de Salvador Riera, 2, 08027 Barcelona, Spain",1,0
INSTITUT ANTONI CUMELLA,"Carrer de Roger de Flor, s/n, 08401 Granollers, Barcelona",1,0
INSTITUT BAIX A MAR,"Carrer de l'Àncora, 29, 08800 Vilanova i la Geltrú, Barcelona, Spain",1,0
Institut Banús,"Carrer de Sant Casimir, 16, 08290 Cerdanyola del Vallès, Barcelona",1,1
Institut Campclar,"Rambla de Ponent, 66, 43006 Tarragona",1,0
INSTITUT BARCELONA-CONGRÉS,"Carrer del Baró d'Esponellà, 1-15, 08031 Barcelona, Spain",1,0
Institut Camps Blancs,"Av. d'Aragó, 40, 08830 Sant Boi de Llobregat, Barcelona, Spain",1,0
Institut Can Mas,"Carrer Pau Casals, 102-104, Ripollet, Spain",1,0
SECCIÓ D'INSTITUT CAN RECORD,"c. Galerna, 2 08461 Sant Esteve de Palautordera",1,0
INSTITUT CAP NORFEU,"C/. Ponent, s/n 17480 Roses  Girona",1,0
Institut Carles Vallbona,"Camp de les Moreres, 14, 08401 Granollers, Barcelona",1,0
INSTITUT COSTER DE LA TORRE,"Avinguda de la Diputació s/n, 43717 La Bisbal del Penedès, T",1,0
INSTITUT D'ALTAFULLA,"Cami de l'Oliverot, S/N, 43893 Altafulla, Tarragona, Tarragona",1,0
Institut d'hosteleria i turisme de Barcelona,,1,0
INSTITUT LA VALLALTA,Parc del litoral s/n 08395 Sant Pol de Mar,1,0
INSTITUT TERRASSA,"Rambla d'Ègara, 331, 08224 Terrassa, Barcelona",2,0
Institut de Tona,,1,0
Institut de Vilanova del Vallès,"Camí de Vilassar, 1, 08410 Vilanova del Vallès, Barcelona",1,0
INSTITUT DOCTOR PUIGVERT,"Passeig de Santa Coloma, 46, 08030 Barcelona",2,1
Institut Eugeni Xammar,"Carrer Camí de Bigues, 40-42, 08480 L'Ametlla del Vallès, Barcelona",1,0
INSTITUT FRANCESC VIDAL I BARRAQUER,"Rambla President Lluís Companys, 3, 43005 Tarragona",2,0
INSTITUT FREDERIC MARTÍ I CARRERAS,"Carrer de Frederic Martí i Carreras, 13, 17200 Palafrugell,",1,0
Institut Gelida,"Carrer Joan Pascual i Batlle, 08790 Gelida, Barcelona",1,0
INSTITUT GALLECS,"Passeig de Cesc Bas, 5, 08100 Mollet del Vallés, Barcelona",1,0
INSTITUT GORGS,,1,0
Institut Guindàvols,"Carrer Eugeni d'Ors, 25196 Lleida",1,0
Institut Hipàtia d'Alexandria,"Carrer de Folch i Torres, 104-116, 08186 Lliçà d'Amunt, Barcelona",1,0
INSTITUT ICÀRIA,"Carrer del Dr. Trueta, 81, 08005 Barcelona",1,0
Institut Isaac Albéniz,"Carrer Parc Serentill, s/n, 08915 Badalona, Barcelona",1,0
INSTITUT JOAN RAMON BENAPRÈS,"Av. Camí de la Fita, 35, 08870 Sitges, Barcelona, Spain",1,0
Institut Julio Antonio,"Av. de les Comarques Catalanes, 103, 43740 Móra d'Ebre, Tarragona",1,0
Institut Joaquima Pla i Farreras,"Avinguda de Ragull, 45, 08173 Sant Cugat del Vallès, Barcelona, Spain",1,0
INSTITUT L'ESTATUT,"Carrer Camil Flammarion, 1, 08191 Rubí, Barcelona, Spain",1,0
INSTITUT JOSEP PUIG I CADAFALCH,"Carrer Sant Josep de Calassanç, 16, 08303 Mataró,",1,0
Institut La llauna,"Carrer de Sagunt, 5, 08912 Badalona, Barcelona, Spain",1,0
Institut la Pineda,"Carrer de la Batllòria, s/n, 08917 Badalona, Barcelona",1,0
Institut La Sedeta,,1,0
INSTITUT DE LA ROCA DEL VALLÈS,"Plaça Sant Jordi, s/n, 08430 La Roca del Vallès, Barcelona",1,0
Institut La Serra,"Ctra. Torregrossa, Km 1,9, 25230 Mollerussa, Lleida",1,0
Institut La Talaia,"Carrer Brasil, 8, 43882 Calafell, Tarragona",2,0
INSTITUT LEONARDO DA VINCI,"Carretera de Rubí, 107, 08174 Sant Cugat del Vallès, Barcelona",1,0
Institut les Aimerigues,"Carrer ďAtenes, 59, 08224 Terrassa, Barcelona, Spain",1,0
INSTITUT MARIA AURÈLIA CAPMANY,"Carrer del Garrofer, s/n, 08940 Cornellà de Llobregat, Barcelona",1,0
Institut Marianao,"Passeig de les Mimoses, 08830 Sant Boi de Llobregat,",1,0
Institut Marta Mata,"Camí de la Justada, 5, 08170 Montornès del Vallès, Spain",1,0
Institut Montserrat,"Carrer de Copèrnic, 84, 08006 Barcelona, Spain",3,1
Institut Narcís Oller,"Carrer de Francesc Gumà i Ferran, 43800 Valls, Tarragona",1,0
Institut Pablo Ruiz Picasso,,1,0
INSTITUT PAU VILA,"Carrer de Viladomat, 118, 08205 Sabadell, Barcelona",2,0
INSTITUT PRÍNCEP DE GIRONA,"Travessera de Gràcia, 357, 08025 Barcelona",1,0
Institut Rambla Prim,"Carrer de Cristóbal de Moura, 223, 08019 Barcelona, Spain",1,0
INSTITUT Les Salines,"Av. Onze de Setembre, 36, 08820 El Prat de Llobregat, Barcelona",1,0
Institut Ridaura,"c. Amadeu Vives, 42 17249 Castell-Platja Aro",1,0
Institut Roquetes,"Carrer d'Alcàntara, 22, 08042 Barcelona",1,0
institut sant andreu,,1,0
Institut Torrent dels Alous,"Passatge Marconi 13-15 08191, RUBÍ",1,0
Institut Valerià Pujol i Bosch,Passeig de Can Balet s/n. 08338-Premià de Dalt,1,0
INSTITUT VALL D'HEBRON,,1,0
INSTITUT VALL DE LLÉMENA,"Plaça Rafael Masó, s/n, 17150 Sant Gregori, Girona",1,0
Institut Vila de Gràcia,"Institut, Carrer de la Riera de Sant Miquel, Vila de Gràcia, Barcelona, Spain",1,0
Institut La Mallola,,1,0
INSTITUT LA BASTIDA,,1,0
INSTITUT BALDIRI GUILERA,"Carrer del Mestre Vigo i Garreta, 08820 Prat De Llobregat ( El ), Barcelona",1,0
LA SALLE SANT CELONI,,1,0
INSTITUT LACETÀNIA,"Av. de les Bases de Manresa, 51-59, 08242 Manresa, Barcelona",1,0
MARE DE DÉU DE LA MERCÈ,"Carrer dels Motors, 122 - 130, 08040 Barcelona",1,0
COL·LEGI MARE DE DÉU DELS ÀNGELS,"Col·legi Mare de Déu dels Àngels, Carrer Gran de la Sagrera, Barcelona, Spain",3,0
PFI AUXILIAR EN MUNTATGE I MANTENIMENT EQUIPS INFORMÀTICS,,1,0
Secció d'Institut de Badalona,,1,0
Taller Ginebró,"Av. de Jaume Campmajor, 08440 Cardedeu, Barcelona, Spain",1,0
SECCIÓ D'INSTITUT DE DOSRIUS,"Carrer Doctor Joan Cardona sn, 08319 Dosrius, Barcelona",1,0
BCG - THE BRITISH COLLEGE OF GAVÀ,"The British College of Gavà, Carrer de Josep Lluís Sert, Gavà, Spain",3,0
ESCOLA EL CARME-VEDRUNA SABADELL,,1,0
ESCOLA EL CARME-VEDRUNA MANLLEU,"El Carme Vedruna Manlleu, Carrer Bisbe Morgades, Manlleu, Spain",4,0
ESCOLA VEDRUNA VALL,,2,0
INSTITUT BALMES,,1,0
Particular Escola Hatikva,"Colegio Hatikva, Sant Cugat del Vallès, Avinguda Mas Fuster, Valldoreix, Spain",1,0
Alfredo Cipriani,,1,0
Cor de Maria Blanes,,1,0
Col·legi Jesús Salvador,,1,0
Institut Camí de Mar,,1,0
Universitat de Barcelona,,1,0
Museu Agbar,"Museu Agbar de les Aigües, Carretera de Sant Boi, Cornellà de Llobregat, Spain",1,0
Ateneu del Clot,"Ateneu del Clot, Carrer de la Muntanya, Barcelona, Spain",1,0
La Salle Bonanova,,1,0
PES Martí Codolar (Salesians de Barcelona),,1,0
CRP Baix Ebre,,1,0
Ciencia en Acción,,1,0
DESCONEGUDA,,1,0
Escola Daina-Isard,"Carrer Cerdanya, 15, 08640 Olesa de Montserrat, Barcelona",1,0
Col·legi Sant Antoni Maria Claret,"Carrer Manuel Mariné, 11, 08940 Cornellà de Llobregat, Barcelona",1,1
INS LA RIBERA,"Carrer Larramendi, 08110 Montcada i Reixac, Barcelona, Spain",2,0
ROBOTIX Madrid EDDE,,1,2
KING,,2,0
ESADE fundrasing team,,2,0
eXplorium,"Carrer dels Banys, 166, 08530 La Garriga, Barcelona",8,0
CREA Robótica,,1,0
Fundació FEDAC,"Carrer dels Àngels, 18, Barcelona, Spain",0,1
Zona Robótica,,1,0
Mumuchu,"Calle Guadalquivir, 20, Alcalá la Real, Spain",1,0
Atlantis,,1,0
Cutting Edge events,,3,0
Lauter,,4,0
Seven,,1,0
Escola Pere Calders,"Passeig de Sanllehy, 50, Polinyà, Spain",1,0
Escola Pérez Iborra,"Escola Pérez Iborra, Carrer del Consell de Cent, Barcelona, Spain",5,1
Alena Garnik,"Almería, Spain",1,0
INSTITUT JOSEP PLA,"Carrer de la Vall d'Ordesa, 24-34, Barcelona, Spain",1,0
Fundación Personas Zamora,Carretera de Salamanca S/N 49190 Morales del Vino Zamora,2,0
Punt Multimèdia Sants,"Carrer de Muntadas, 5, Barcelona, Spain",1,0
Fundació Pere Tarrés,"Carrer de Numància, 149-151, 08029 Barcelona, Spain",3,0
BNETWORK,C/ Aragó 314 1º 1ª 08009 Barcelona,2,0
AIJU,"Avenida de la Industria, 23, Ibi (Alicante)",1,0
La Malle Buisonniere,,1,0
Tintatóner,Sabadell,1,0
Luna Amposta,,1,0
Aldees Infantils,,3,0
Centro Informático Logos,,1,0
Fundación Domus,"Carrer Rocafort, 2, Godella, Spain",1,1
Bee-bee,,1,0
Escola Andersen,"Carrer de Pérez Galdós, 15, Terrassa, Spain",2,1
Decuatro,,1,0
Escuelas Francesas,"Calle Almendralejo, 18, 41019 Sevilla, Spain",1,1
Col·legi Pompeu Fabra,"Escola Pompeu Fabra, Carrer de Santa Caterina, Sant Adrià de Besòs, Spain",1,0
Cosmofutura,,1,0
Mas Camarena,"Complejo Educativo Bilingüe Mas Camarena, Sector Esmeralda V Mas Camarena, Bétera, Spain",1,0
Eduka Planet,"Calle Pozo Nuevo, 12, 21610 San Juan del Puerto, Huelva, Spain",1,0
Albert Bosch Flores,,1,0
Unit Elements,"Roger 65, baixos 08028 Barcelona",1,1
L'Espectacleria SL,"Carrer Alt 11, nau 5, 08191, Barcelona",2,0
IES JOSE MARÍA PÉREZ PULIDO,,1,0
JAVIER PALACIOS,,1,0
Ajuntament de Llagostera,"Ajuntament de Llagostera, Plaça del Castell, Llagostera, Spain",4,0
Colegio Jules Verne,"Julio Verne School, Torrent, Spain",1,0
Institut d'Estudis Nord-Americans,"Institut d'Estudis Nord-Americans, Via Augusta, Barcelona, Spain",4,0
Ramon Barcons Sánchez,,1,0
I-vascular,,2,0
Fundacion Prosegur,,2,0
DKV,,3,0
Induser Organización Industrial,,1,0
Grup Àgora,,1,0
Escola San Joan Despi,,1,0
INS Domènec Perramon,"Institut Domènec Perramon, Arenys de Munt, Spain",2,0
Children Land,,3,0
Clementina,,1,0
Col·legi Salesianes Santa Dorotea,"Salesianes, Carrer de Buïgas, Barcelona, Spain",2,0
Instituto San Telmo,"Instituto de Educación Secundaria Ies San Telmo, Calle Cuesta de San Telmo, Jerez, Spain",1,0
ADIS Meridianos,"Calle la Fuente de los Molinos, 94, Almería, Spain",1,0
English2Go,"Av. Burriac, 12, 08349 Cabrera de Mar, Barcelona, Espanya",1,0
AMPA Institut Badia i Margarit,,1,0
Grupo Secuoya,,0,1
IES Hermanos Amorós,,1,0
ESCOLA DE FORMACIÓ PROFESSIONAL ACADÈMIA NÚRIA,"Carrer d'Apel·les Mestreś, 52, 08850 Gavà, Barcelona",2,0
Sport Dirigit,,4,1
FEDAC Guissona,,1,1
FEDAC Montcada,"Fedac Montcada, Carrer Major, Montcada i Reixac, Spain",3,1
STP Group,"Carrer de Prat de la Riba, 1, Viladecans, Spain 088840",3,0
Barcelona Activa SAU,"c/ Llacuna, 162  08018 Barcelona",17,1
SOLUTIA,,0,1
Sant Josep Sant Boi,"Col·legi Sant Josep, Avinguda Can Carreras, Sant Boi de Llobregat, Spain",2,0
Escola Rosa Sensat,"Plaça Ramon i Cajal, 11, 08320 El Masnou, Barcelona, Spain",1,0
Fundació Sinergia,,2,0
JTI,,1,0
IES Francisco de Goya,"Carrer de Garriga i Roca, 21, 08032 Barcelona",1,0
Bit Academy,,1,0
Todo Ocio,,1,0
Xplusbi Consulting,"Ronda del General Mitre, 126, Barcelona, Spain",1,0
Col·legi d'Enginyers Industrials,,1,0
Infimont,,1,0
CIPFP MISLATA,"C/.Dolores Ibarruri, 32 CP 46920 MISLATA (Valencia)",1,0
Novartis,,1,0
Edelvives,,4,0
Escola Pia Granollers,"Escola Pia Granollers Infantil i Primària, Avinguda Sant Esteve, Granollers, Spain",1,0
Escola Charles Darwin,,1,0
The Corner,,1,0
Vedruna Manresa,"Vedruna Manresa, Manresa, Spain",1,0
Carmelites Tarragona,"Col·legi Mare de Déu del Carme, Avinguda d'Estanislau Figueres, Tarragona, Spain",1,1
IPSE,"Escola IPSE, Carrer de Casanova, Barcelona, Spain",3,2
Learnick,"Learnick, Passatge Aneto, Mataró, Spain",0,1
Empar,,1,0
Síndrome de Down Catalunya,,1,0
Fundació Vedruna (Central),"Carrer del Bisbe Torras i Bages, 7-9, Vic, Spain",2,1
Particular,,1,0
CUNEF,,1,0
NSTarrega,"Carrer Talladell, 7-9, Tàrrega, Spain",2,0
JDA Valls Informàtica,,1,0
Colegio San Agustín,"Avenida Carrascoy, Fuente Álamo, Spain",1,0
Hermanas de la Consolación,,1,0
Kibo Studios,,1,0
Institut Antoni Maura,,1,0
Cooperativa AEMA,,1,0
PCTT,"Parque Científico y Tecnológico de Tenerife (PCTT), Santa Cruz de Tenerife, Spain",1,2
Papeland Grafics SL,"Carrer de Balmes, 432",1,0
Teckman Books,,1,0
Serveis Educatius CRP Districte de Gràcia,"Carrer de la Mare de Déu de la Salut, 87, Barcelona, Spain",1,0
Fundación Repsol,"Calle de Velázquez, 166, Madrid, Spain",2,1
Particular,,1,0
Bankia,,3,0
Ments Creatives Tecnoanoia,,4,0
Mori Sistemas,,1,0
CIAC Formación (Córdova),,1,0
Escola Ítaca,"Escola Ítaca, Carrer de Numància, Barcelona, Spain",1,0
Escola Les Falgueres (Girona),,1,0
FEDAC Ripollet,,1,0
Creabotics 3D,,1,0
taller de cultura,,1,0
Escola Mil·lenari,"Escola Mil·lenari, Carrer de la Mare de Déu del Pilar, Cardedeu, Spain",4,2
Aloha Spain,,1,1
SAM Claret,,1,0
"Tres, dos, ú",,3,0
Liceo Egara (Terrassa),"Carrer del Dr. Pearson, 163, 08222 Terrassa, Barcelona, Spain",3,1
Vicerrectorado de Innovación Social y Emprendimiento - Universidad de Málaga,,1,0
Institut de Mollerussa,"Institut Públic Mollerussa, Mollerussa, Spain",1,0
Thau Sant Cugat,"Escola Thau Sant Cugat, Avinguda de la Generalitat, Sant Cugat del Vallès, Spain",1,2
Newton College Alicante,,1,0
CRP Horta Guinardó,,1,0
Districte Ciutat Vella,"Distrito de Ciutat Vella, Barcelona, Spain",1,0
Escola Laietània,"Laietània, Carrer de Saragossa, Badalona, Spain",1,0
JAIME RODRÍGUEZ RAMOS,,1,0
Escola Octavio Paz,"Escola Octavio Paz, Carrer de Mallorca, Barcelona, Spain",1,0
CEIP Collbaix,"Colegio Público Collbaix, Carrer Salvador Espriu, Sant Joan de Vilatorrada, Spain",1,0
"Vergé Font de la Salut (Treiguera, Castelló)",,1,0
Fundació La Caixa,,1,1
Andreu Navarro,,1,0
iEscola,"Rúa Do Castelo, 14 A Poio Pontevedra 36994",6,0
Escola Catalònia,"Carrer del Perú, 195, 08020 Barcelona, Spain",1,0
Escultura Eventos,,1,0
Baula,,1,0
Deloite,,1,0
Gaia Camp SL,,1,0
American School of Paris,"American School of Paris, Rue Pasteur, Saint-Cloud, France",1,0
Esabierto,,2,0
Escola Cervetó,"Carrer d'Isabel de Villena, 39-48, 08401 Granollers, Barcelona",1,0
Col·legi Jardí,"Josep Torras i Bages, 81 | 08401 - Granollers (Barcelona)",2,0
Escola Sant Sebastià,C. de les Escoles s/n  43887 Nulles  (Alt Camp),1,0
Escola Sant Serni,,1,0
Institut Milà i Fontanals Vilafranca del Penedès,,1,0
ESCOLA HAMELIN,,1,0
ESCOLA SANTA MARÍA DEL PINO,"Santa María Del Pino, Carrer Riera Coma Clara, Alella, Spain",3,1
OAK HOUSE SCHOOL,,2,0
"Scuola primaria ""Maria Montessori""","C/Setanti, 10-12 (Sarrià) Barcellona - Spagna",1,0
LYCÉE FRANÇAIS DE BARCELONA,"Liceu Francès de Barcelona, Carrer de Bosch i Gimpera, Barcelona, Spain",1,0
KENSINGTON SCHOOL,,1,0
ZURICH SCHULE,,1,0
ÉCOLE FRANÇAISE FERDINAND DE LESSEPS,,1,0
AULA ESCOLA EUROPEA,,1,0
BON SOLEIL - LYCÉE FRANÇAIS DE GAVÀ,"LFG Bon Soleil, Camí de la Pava, Gavà, Spain",1,0
ISCAT - THE INTERNATIONAL SCHOOL OF CATALUNYA,,1,0
EUROPA INTERNATIONAL SCHOOL,,1,0
THE OLIVE TREE SCHOOL,"The Olive Tree School, Sant Pere de Ribes, Spain",2,0
COL·LEGI CORAZÓN INMACULADO DE MARÍA,"Colegio Corazón Inmaculado de María, Sentmenat, Barcelona, Spain",2,0
COL·LEGI MONTESSORI-PALAU,,2,0
CFR - COLLÈGE FRANÇAIS DE REUS,,1,0
EIC - ESCOLA INTERNACIONAL DEL CAMP,"ESCOLA INTERNACIONAL DEL CAMP, Carrer Salvador Espriu, Salou, Spain",1,0
SANTA CLARA - INTERNATIONAL COLLEGE,,1,1
ENGLISH ACADEMY SANTA CLAUS,,1,0
COLEGIO HATIKVA,"Comunidad Israelita de Barcelona, Av. Mas Fuster, 128, 08197 Valldoreix, Spain",2,0
COLEGIO JAPONÉS DE BARCELONA,,1,0
ÉCOLE FRANÇAISE BEL AIR,,2,0
RICHMOND INTERNATIONAL SCHOOL,,1,0
ESCUELA MONTESSORI FIGUERES,,1,0
SAINT PAULS SCHOOL,,1,0
Colegio Sagrado Corazón HH Maristas Alicante,"Calle Isla de Corfú, 5, 03005 Alicante, Spain",1,0
Campi qui Jugui,,3,0
Academia valmeca,,1,0
Col·legi Jesús Maria i Josep,"C/Sant Sebastià, 55  08030  Barcelona",2,0
Escola Maria Cubí i Soler,"Carrer dels Pirineus, 0, 08380 Malgrat de Mar, Barcelona",2,0
Escola Mare de Déu de Montserrat,"Carrer Escoles, 10, 08380 Malgrat de Mar, Barcelona, Spain",1,0
Escola La Roureda,Carrer Roudera s/n ·(Veïnat Sant Pere) 08490 Tordera · BARCELONA,1,0
Yago School,"Yago School, Calle Real, Castilleja de la Cuesta, Spain",3,1
Escola Pia Balmes,"Carrer de Balmes, 208, 08006 Barcelona",2,2
Con Sombrero,,1,0
PUIG,,3,0
Institut Arquitecte Manuel Raspall,"Av. Mare de Déu de Montserrat, 41, 08440 Cardedeu, Barcelona",1,0
Biblioteques de Catalunya,,1,0
Eurostage,"Eurostage, Riera Caldetas, Arenys de Mar, Spain",4,0
Col·legi Pare Enric d'Ossó,"Av. d'Amèrica, 5-9, 08907 L'Hospitalet de Llobregat, Barcelona",4,1
Col·legi Lestonnac Mollet,"Rambla Balmes, 15 - 21 Mollet del Vallès 08100",1,0
Escola Bonavista,"Carrer Bonavista, Castellar del Vallès, Spain",1,0
Escola Enxaneta Viladecans,,1,0
Centre Obert Sant Martí,"Carrer de Huelva, 36, Barcelona, Spain",1,0
Col·legi Sant Lluís,"Carrer dels Arítjols, 12-14, 08016 Barcelona",6,1
escola pública Els Pinetons,"Av. de Catalunya, 16, 08291 Ripollet, Barcelona, Espanya",1,0
Escola Pompeu Fabra,"Calle Frai Juniper Serra, S/N - Vilanova del Cami - Barcelona",1,0
Institut-Escola Les Vinyes,"Institut-Escola Les Vinyes, Carrer Major, Castellbisbal, Spain",2,0
Escola Emili Juncadella,"Carrer de Juan de Garay, 12, 08041 Barcelona",3,1
Inst. Francesc Ribalta,"Institut Públic Francesc Ribalta, Carrer Francesc Ribalta, Solsona, Spain",1,0
Escola Roc Llop i Convalia,"c/ La Creu, s/n 43747 Miravet, Tarragona",2,1
Escola Norai,"Carrer Floridablanca, 7-9, L'Hospitalet de Llobregat, 08906 Barcelona, Espanya",1,1
Escola Turó Blau,Barcelona,1,0
Ins Les Marines,Barcelona (Castelldefels),1,0
Escola Sant Marc Sarrià,"Col·legi Sant Marc de Sarrià, Carrer de Carrasco i Formiguera, Sarrià, Barcelona, Spain",1,0
Institut Vallbona d'Anoia,,1,0
Colegio Diocesano Santa Clara,"Colegio Diocesano Santa Clara, Calle Mártires de Ocaña, Ocaña, Spain",1,0
Escola Roser Capdevila,Escola Roser Capdevila Polinyà,1,0
AFA Pere Lliscart,"Colegio Público Pere Lliscart, Plaça Cadí, L'Hospitalet de Llobregat, Spain",2,0
Vedruna Arbúcies,,1,0
Kensington School Madrid,"Kensington School, Pozuelo de Alarcón, Madrid, Spain",2,0
Aprenbot,,2,1
Escola Pia Luz Casanova,"Escola Pia Luz Casanova, Carrer d'Almansa, Barcelona, Spain",2,2
Escola La Popa,"Carrer Major, 20 08183 Castellcir",3,0
Raquel Fabregat,"Carrer de Tànger, 148, Barcelona, Spain",1,0
Escola Mireia,"Carrer d'Ausiàs Marc, 62, 08010 Barcelona",1,1
Escola López Torrejón,"Carrer de Roger de Flor, 115, 08912 Badalona",1,0
CP José Luís Arrella Corese,"Avd. José Luis de Arrese, 28 Bis 31591 CORELLA (NAVARRA)",1,0
Escuela Municipal de Idiomas del Ayuntamiento de Torrelodones,,1,0
Academia Epsilon Barco,"Rúa Eloy Rodríguez Barrios, 57, 32300 O Barco, Ourense, Spain",2,1
Escola General Prim,"Carrer del Doctor Ferran, 42, Reus, Spain",2,0
CEIP Margalló,"C/Lola Anglada, 4 08860 Castelldefells, Cataluna, Spain",2,0
ClaroDom,,1,0
Col·legi Ginesta,"c/ Circumval lació, s/n, 08110 Montcada i Reixac, Barcelona",1,0
Gema Fontestald,,1,0
LEXGO INTERNATIONAL SL,,1,0
Tony Cuesta,,1,0
MARCO GUADALUPI,,1,0
