FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
2/27/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",261,15.00 ,630,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/27/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",261,13.00 ,546,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/23/2018,705205,Inscripción ROBOTIX Infantil,12,"ESTUDIO AGORA, S.A.",403,1.00 ,0,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
7/5/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1011,5.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/5/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1011,5.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/5/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1011,1.00 ,75,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
4/23/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",580,12.00 ,504,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
4/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",580,16.00 ,672,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
4/23/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",580,11.00 ,462,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
5/22/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",721,11.00 ,462,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
5/22/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",721,16.00 ,672,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
