FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE3
7/5/2018,705001,SERVICIOS PRESTADOS,11,BELL-LLOC DEL PLA,1011,1.00,1690.05,14110
7/5/2018,0000,Codi descompte material LE,11,BELL-LLOC DEL PLA,1011,1.00,1500,14110
2/5/2018,45501,EV3 Rechargeable DC Battery,11,BELL-LLOC DEL PLA,177,5.00,424.95,14110
1/26/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",95,13.00,546,14002
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",95,15.00,630,14002
2/5/2018,0000,Codi descompte material LE,11,BELL-LLOC DEL PLA,177,-1.00,-21.14,14110
2/27/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",261,12.00,504,14002
2/27/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",261,15.00,630,14002
2/27/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",261,13.00,546,14002
3/23/2018,705205,Inscripción ROBOTIX Infantil,12,"ESTUDIO AGORA, S.A.",403,1.00,0,14002
7/5/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1011,5.00,0,14110
7/5/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1011,5.00,0,14110
7/5/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1011,1.00,75,14110
4/23/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",580,12.00,504,14002
4/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",580,16.00,672,14002
4/23/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",580,11.00,462,14002
5/22/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",721,11.00,462,14002
5/22/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",721,16.00,672,14002
5/22/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",721,10.00,420,14002
7/11/2018,705001,SERVICIOS PRESTADOS,11,BELL-LLOC DEL PLA,1034,-1.00,-1690.05,14110
7/11/2018,0000,Codi descompte material LE,11,BELL-LLOC DEL PLA,1034,-1.00,-1500,14110
7/11/2018,9689,Simple Machines Set,11,BELL-LLOC DEL PLA,1034,-30.00,0,14110
7/11/2018,2000707,LE Replacement Pack Rubber Bands,11,BELL-LLOC DEL PLA,1034,-5.00,0,14110
7/11/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1034,-5.00,0,14110
7/11/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1034,-5.00,0,14110
7/11/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1034,-1.00,-75,14110
7/11/2018,705001,SERVICIOS PRESTADOS,11,BELL-LLOC DEL PLA,1035,1.00,1690,14120
7/11/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1036,1.00,75,14110
7/11/2018,9999,Codi creació de packs,11,BELL-LLOC DEL PLA,1036,1.00,1500,14110
7/11/2018,9689,Simple Machines Set,11,BELL-LLOC DEL PLA,1036,30.00,0,14110
7/11/2018,2000707,LE Replacement Pack Rubber Bands,11,BELL-LLOC DEL PLA,1036,5.00,0,14110
7/11/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1036,5.00,0,14110
7/11/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1036,5.00,0,14110
6/22/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",898,10.00,420,14002
1/26/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",95,13.00,546,14002
3/23/2018,705220,Inscripción ROBOTIX CM,12,"ESTUDIO AGORA, S.A.",403,1.00,25,14002
3/23/2018,705220,Inscripción ROBOTIX CM,12,"ESTUDIO AGORA, S.A.",403,1.00,25,14002
3/23/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",403,12.00,504,14002
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",403,16.00,672,14002
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",403,1.00,42,14002
3/23/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",403,14.00,588,14002
6/22/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",898,11.00,462,14002
6/22/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",898,16.00,672,14002
7/2/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",976,-11.00,-462,14002
7/2/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",976,-16.00,-672,14002
7/2/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",976,-10.00,-420,14002
7/2/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",977,11.00,231,14002
7/2/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",977,16.00,336,14002
7/2/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",977,10.00,210,14002
4/23/2018,705205,Inscripción ROBOTIX Infantil,12,"ESTUDIO AGORA, S.A.",580,1.00,0,14002
4/23/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,577,5.00,230,14002
5/22/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,718,5.00,230,14002
1/26/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,11.00,561,14002
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,24.00,1104,14002
1/26/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,12.00,708,14002
3/23/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,404,1.00,0,14002
5/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,11.00,561,14002
5/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,25.00,1150,14002
5/15/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,11.00,649,14002
6/1/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,11.00,561,14002
6/1/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,23.00,1058,14002
2/16/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,11.00,561,14002
2/16/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,24.00,1104,14002
2/16/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,12.00,708,14002
3/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,11.00,561,14002
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,5.00,230,14002
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,1.00,23,14002
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,25.00,1150,14002
3/15/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,11.00,649,14002
3/23/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,439,-1.00,0,14002
10/25/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,10.00,510,14002
10/25/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,9.00,414,14002
6/1/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,11.00,649,14002
10/9/2018,705205,Inscripción ROBOTIX Infantil,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,10.00,300,14002
10/9/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,29.00,870,14002
10/9/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,10.00,255,14002
10/9/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,9.00,207,14002
10/9/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,8.00,184,14002
10/9/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,7.00,206.5,14002
12/28/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,10.00,510,14002
12/28/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,9.00,414,14002
12/28/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,8.00,368,14002
12/28/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,8.00,496,14002
10/9/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,5.00,147.5,14002
10/15/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-8.00,-184,14002
10/15/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-7.00,-206.5,14002
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,400,5.00,230,14002
10/15/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-5.00,-147.5,14002
4/16/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,11.00,561,14002
4/16/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,25.00,1150,14002
4/16/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,11.00,649,14002
10/15/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-29.00,-870,14002
10/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-10.00,-255,14002
10/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-9.00,-207,14002
10/15/2018,705205,Inscripción ROBOTIX Infantil,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,-10.00,-300,14002
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1448,4.00,240,14120
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1449,4.00,240,14120
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1451,4.00,240,14120
1/31/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",162,1.00,240,14120
1/31/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",162,1.00,240,14120
10/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,10.00,255,14002
10/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,9.00,207,14002
10/15/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,8.00,184,14002
10/15/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,7.00,206.5,14002
10/15/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,5.00,147.5,14002
10/25/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,8.00,368,14002
3/2/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",310,1.00,240,14120
10/25/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,7.00,413,14002
10/25/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,5.00,295,14002
11/27/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1789,10.00,510,14002
11/27/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1789,9.00,414,14002
11/27/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1789,8.00,368,14002
11/27/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1789,8.00,496,14002
11/27/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1789,5.00,295,14002
12/28/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,5.00,295,14002
4/18/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",562,4.00,240,14120
5/14/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",688,4.00,240,14120
5/17/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",709,4.00,240,14120
4/6/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",516,4.00,240,14120
9/27/2018,9689,Simple Machines Set,39,"SEK ATLANTICO, S.L",1315,2.00,109.98,14110
9/27/2018,9998,Garantía anual - No question,39,"SEK ATLANTICO, S.L",1315,1.00,5.5,14110
9/27/2018,0000,Codi descompte material LE,39,"SEK ATLANTICO, S.L",1315,-1.00,-7.5,14110
1/26/2018,0000,Codi descompte material LE,44,CENTRO EDUCATIVO AGORA MASIA BACH S.L.U.,97,-2.00,-84,14002
1/26/2018,705220,Inscripción ROBOTIX CM,44,CENTRO EDUCATIVO AGORA MASIA BACH S.L.U.,97,1.00,25,14002
1/26/2018,705221,Formación ROBOTIX INFANTIL CM (1H),44,CENTRO EDUCATIVO AGORA MASIA BACH S.L.U.,97,5.00,210,14002
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),44,CENTRO EDUCATIVO AGORA MASIA BACH S.L.U.,97,11.00,462,14002
1/26/2018,705227,Formación ROBOTIX 3 CM (1H),44,CENTRO EDUCATIVO AGORA MASIA BACH S.L.U.,97,15.00,630,14002
