FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
11/20/2018,45560,LEGO® MINDSTORMS® Education EV3 Expansio,214,COLEGIO DE FOMENTO MONTECASTELO,1507,0.00,4.00,14110
2/12/2018,2000414,LEGO® SERIOUS PLAY® Starter Kit,255,CENTRO DEL PROFESORADO DE JEREZ,203,"1,117.80",30.00,14110
2/12/2018,10700,Base Verde,255,CENTRO DEL PROFESORADO DE JEREZ,203,371.70,30.00,14110
2/12/2018,628004,GASTOS DE ENVIO,255,CENTRO DEL PROFESORADO DE JEREZ,203,21.59,1.00,14110
11/20/2018,45517,Transformer 10V DC,214,COLEGIO DE FOMENTO MONTECASTELO,1507,0.00,4.00,14110
7/19/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,272,SEK ALBORAN S.L,758,0.00,4.00,14110
7/19/2018,45517,Transformer 10V DC,272,SEK ALBORAN S.L,758,0.00,2.00,14110
7/19/2018,45300,LEGO® Education WeDo 2.0 Core Set,272,SEK ALBORAN S.L,758,0.00,12.00,14110
7/19/2018,45024,STEAM Park,272,SEK ALBORAN S.L,758,0.00,4.00,14110
7/19/2018,9998,Garantía anual - No question,272,SEK ALBORAN S.L,758,0.00,1.00,14110
6/11/2018,9686,Simple & Powered Machines Set,306,COL·LEGI MARE DE DÉU DE LA MERCÈ,549,989.94,6.00,14110
6/11/2018,9585,LEGO® Education WeDo™ Resource set,306,COL·LEGI MARE DE DÉU DE LA MERCÈ,549,105.98,2.00,14110
10/9/2018,705001,SERVICIOS PRESTADOS,321,COLEGIOS RAMON Y CAJAL SL,1259,540.00,1.00,14110
10/3/2018,45300,LEGO® Education WeDo 2.0 Core Set,326,ESCOLA EL BOSC DE LA PABORDIA,1183,"1,000.86",7.00,14110
11/7/2018,45300,LEGO® Education WeDo 2.0 Core Set,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,"1,715.76",12.00,14110
11/7/2018,9656,Early Simple Machines Set,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,908.94,6.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,"1,586.28",12.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,181.64,4.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,133.70,2.00,14110
