Organization,Lat,Lon
Fundación Repsol,40.4539093,-3.6571356
Ajuntament de Llagostera,42.0096857,-4.5288016
Grup Àgora,41.1570975,1.1090237
Escola Mare de Déu de Montserrat,39.4752293,-0.3776588
Escola La Roureda,40.4539175,-3.6461263
CP José Luís Arrella Corese,36.4341608,-5.151799899999999
Colegio Abaco,41.1540205,1.1169547
INS LA RIBERA,42.00141740000001,2.274528
Juan Bautista Zabala Eskola,41.4550596,2.2436244
GRUPO SEK,41.54883,2.439751
Escola Arrels,41.9299954,2.2595895
Serveis Educatius CRP Districte de Gràcia,41.6448067,2.742502500000001
Fundación Domus,41.3754685,2.1758484
JAVIER PALACIOS,40.525202,-3.653858
IES Doñana,41.387974,2.1752072
ADIS Meridianos,41.40711810000001,2.154681
FEDAC Guissona,41.4882044,2.3502342
Vedruna Manresa,41.4171033,2.1756009
INTERNATIONAL SCHOOL PEÑISCOLA SL,41.4405287,2.2274361
JDA Valls Informàtica,37.2784764,-5.9286268
Escola Maria Ossó,41.4945329,2.1293592
Escola Ítaca,41.4078309,2.1683871
Institut de Mollerussa,41.1552837,1.1194403
COLEGIO PÚBLICO LABASTIDA,39.45736,-6.3822
Escola Octavio Paz,43.167593,-2.6355248
CEIP Collbaix,40.4688335,0.4658681
Escola Cervetó,41.4092711,2.1766568
Escola Sant Serni,36.7371094,-5.164867
Institut Milà i Fontanals Vilafranca del Penedès,36.8426518,-2.4557058
ENGLISH ACADEMY SANTA CLAUS,41.625753,-0.9002299
FUNDACIO ESCOLA MOWGLI,36.7134613,-2.8005931
Col·legi Lestonnac Mollet,40.3716437,-3.6057952
ESCOLA PETIT ESTEL - LA NOVA SL,41.474256,1.9825614
escola pública Els Pinetons,36.7197514,-4.42245
Escola Norai,40.4307179,-3.6401278
Ins Les Marines,41.65325,0.5574049999999999
Institut Vallbona d'Anoia,41.6542592,0.5479436
Colegio Diocesano Santa Clara,41.5771153,2.0344116
Escola Roser Capdevila,41.4050886,2.2114009
Escola Mireia,41.752541,0.6595184
Jesuitas San José,37.18378730000001,-3.6003902
Col·legi Natzaret,41.5592213,2.0805776
Escola Ridolaina,41.4305047,2.1837259
La Salle Seu d'Urgell,28.0421963,-15.4513053
SEK CIUDALCAMPO S.L.,41.4264715,2.1619115
Escola Aloma,41.57421799999999,2.025188
Colegio de Fomento Monteagudo,43.263831,-5.740470999999999
Escola Sant Ildefons,40.3333119,-3.8565072
Institut de Cornellà,43.021109,-4.2155776
Colegio de Fomento Miralvent,42.3427663,3.202891
Col·legi Públic Menéndez Pidal,36.7471011,-4.0903012
Col·legi Santo Tomás,41.4136304,2.1795912
Escola General Prim,39.4706224,-0.3529655
Col·legi Les Alzines,39.8238183,-0.2332786
ESTUDIO AGORA S.A.,28.1000444,-16.6806542
Escola Joan Roca,39.5496583,-0.4660035
Escaladei,39.51224790000001,-0.4509129999999999
Fundació Dolores Sopeña (Oscus)\u200e,39.931894,4.138285
Colegio Santa Ana de Fraga,41.34909469999999,2.1091194
IES Almussafes,41.395688,2.149909
Institut La Romànica,41.5589913,1.9960235
Col·legi Montserrat de Badalona,39.4404678,-0.3903448
Centre d'Estudis Roca,40.470233,-3.940025
Centre d'Estudis Monlau,41.48451559999999,2.0333498
Anoetako Herri Ikastola,41.2385948,1.8106467
Col·legi Santíssima Trinitat Badalona,41.95723,2.637971
Col·legi Sant Josep Obrer,41.1505866,1.0999733
Escola Nabí,37.3948432,-5.9212831
La Immaculada,35.887391,-5.3096814
Escola Mare de Déu del Lledó,41.3827775,2.1797204
IES Angel Sanz Briz,42.21329,-8.6931545
Escola Lloret,37.77739500000001,-3.890856
British School of Barcelona Sitges,41.538872,2.110015
Escola Camp Joliu,36.6944448,-4.4491819
Col·legi Sant Jaume,41.3081943,0.9890344999999999
Colegio Santo Angel La Dehesa,41.851422,3.119071
EDUCAndo,41.5714073,2.4882164
Colegio Beata Maria Ana de Jesús,41.3831944,2.1811096
