Organization,Lat,Lon
Apa Colegio Nuestra Señora del Carmen,43.2982822,-1.9905614
CRIE Cervera de Pisuerga,38.8353109,0.1018731
ESCUELA LICEO EUROPEO,36.6656171,-4.5744516
FEDAC HORTA,43.3437511,-5.6358937
INSTITUT INFANTA ISABEL D'ARAGÓ,40.4116379,-3.712664
SEK SANTA ISABEL S.L,40.398795,-3.665868
CEIP Bernat Desclot,38.4658934,-0.7923245
INSTITUCIO FAMILIAR D'EDUCACIO SA  (COL·LEGI LA FARGA),39.57947739999999,2.6792875
Colegio de Fomento Tabladilla,39.28656549999999,-0.5801044
ESCOLA HAMELIN,39.2864692,-0.5761703
OAK HOUSE SCHOOL,41.3823414,2.1761001
LYCÉE FRANÇAIS DE BARCELONA,37.4530309,-3.9222591
KENSINGTON SCHOOL,39.6952629,3.0175712
ÉCOLE FRANÇAISE FERDINAND DE LESSEPS,38.3863143,-0.4892807
ZURICH SCHULE,39.0049802,-1.8621293
AULA ESCOLA EUROPEA,36.6265566,-4.5160396
BON SOLEIL - LYCÉE FRANÇAIS DE GAVÀ,28.0590296,-16.7183234
ISCAT - THE INTERNATIONAL SCHOOL OF CATALUNYA,28.098256,-15.440789
EUROPA INTERNATIONAL SCHOOL,39.87467300000001,-4.032630999999999
THE OLIVE TREE SCHOOL,40.4835999,-3.7112487
COL·LEGI CORAZÓN INMACULADO DE MARÍA,41.3850639,2.1734035
EIC - ESCOLA INTERNACIONAL DEL CAMP,40.5312746,-3.657254199999999
CFR - COLLÈGE FRANÇAIS DE REUS,41.547013,2.220917
THE BRITISH SCHOOL BARCELONA,38.054992,-1.898081
BCG - THE BRITISH COLLEGE OF GAVÀ,41.3850639,2.1734035
SANTA CLARA - INTERNATIONAL COLLEGE,40.499578,-3.874772
COLEGIO JAPONÉS DE BARCELONA,41.391417,2.173702
ÉCOLE FRANÇAISE BEL AIR,41.6698673,1.8601352
RICHMOND INTERNATIONAL SCHOOL,41.3247477,2.086855
ESCUELA MONTESSORI FIGUERES,41.4459717,2.1934307
SAINT PAULS SCHOOL,41.9120325,1.675391
Sagrada Familia Sigüenza,41.5107339,2.0913214
Colegio Compañía de María Jerez,41.570922,2.0927293
Fundación Tomillo,41.39866139999999,2.1171278
Colegio Urkide,41.3828055,2.0888186
Madre Josefa Campos,41.2020084,1.6030369
Peleteiro,41.2887209,1.9734434
CFIE Valladolid,41.3604368,2.1217307
Ministerio de Educación,41.3421037,2.0470808
Fundación DISA,41.3632668,2.1037589
La Salle Alcora,41.4282537,2.1684662
IES Ezequiel González,41.1502387,1.4130349
CEIP San Pedro Alcántara,41.4432003,2.1753057
UAM,41.5248835,2.2297321
Liceo SC,41.539187,2.1012292
IES Eduardo Primo Marqués,41.5681987,2.004407
Colegio Huerta Santa Ana,41.46581399999999,2.094917
Particular Autista,41.3758065,2.144462
IES Jaume I Borriana,41.3839203,2.1693063
Colegio La Purísima Alzira,41.4564354,2.2449053
Sant Antoni Abat,41.248036,1.2957364
Deutsche Schule San Alberto Magno Donostia,41.4283522,2.1914954
CEIP Les Vessanes,41.3640938,2.0256294
El Pinar Málaga,41.5453528,1.9003008
CP El Cotayo,41.9992019,2.2841618
Real Academia de la Ingeniería,41.4392364,2.2240141
Colegio Divina Pastora Vallecas,41.4520322,2.2223216
Pintor Sorolla,41.4204827,2.1408213
Sant Josep Obrer,41.2853655,1.9793158
EFA La Malvesía,41.4063738,2.1881951
EFA Torrealedua,41.4458062,2.2387465
Salmantín,41.3853544,2.15827
OMNIA,41.6527644,2.7438116
Jose Pedro Martínes Particular,41.7548496,1.8686947
IES Antonio de Mendoza,41.3869097,2.051440700000001
Espai crea Network,41.8151518,3.0021199
Jesús María Villafranqueza,41.61700140000001,2.6615868
Ies Vandelvira,41.60482880000001,2.2903538
Asociación Amapamu,41.81358549999999,2.0956896
EnergitecSoluciones tecnológicas,41.4117109,2.1362792
Volvo,41.424088,2.167435
IES Ichasagua,41.4864502,2.3120374
CEP Las palmas de GC,42.1020992,2.2164725
Sandra Morán Particular,41.7978664,1.9526954
Micron Formación,41.4013662,2.1460927
Sercaman,37.4055765,-5.9262906
Kidekom,41.9875336,1.517381
Innovamat / Brain Art,41.40605499999999,2.118598
Techmakers academia,40.3922396,-3.7623325
CTELL,41.4430074,1.8616983
Cloudalia,41.3983506,2.1206687
Juan Sola,41.0414096,0.6002797999999999
Valentina Moreno,41.4219524,1.9948744
Future Funded,41.3759485,2.1160367
Omnitel,41.9325203,2.2331161
Blueglobe Media,41.5429221,2.2039336
NetBrain,41.401713,2.108474
FEDAC Sant Vicenç,41.3764621,2.1627563
Institut Ribera Baixa,41.3778346,2.1292298
UPC,41.6359406,-4.7252937
Inst. Cristòfol Despuig,41.4208199,2.1698615
Escola Tabor,41.3271294,1.6164078
CEIP Pere Anton,41.5904841,2.5737079
Mireia Centre Est. Montgat,42.1907035,2.1943075
FEDAC St Narcís,41.5222592,2.2327865
INSTITUT DOCTOR PUIGVERT,42.2679013,2.9520278
IES Maremar,41.2141385,1.5230758
La Salle La Seu,41.6094962,2.2829857
