Cód. cliente,Lat,Lon
2.0,41.5107339,2.0913214
5.0,41.5897431,2.046793
8.0,41.9146757,2.2569109
9.0,41.848748,2.2138289
11.0,41.969029,2.806631
13.0,40.3838223,-3.9301458
14.0,40.52517,-3.630783
15.0,41.956098,2.8194707
17.0,36.3896325,-6.089103199999999
20.0,40.4985181,-3.7058794
21.0,42.7891988,-1.6681207
22.0,43.340791,-8.394737
23.0,42.8151697,-1.6380493
24.0,41.133522,1.245997
25.0,40.5230187,-3.596457
27.0,41.5372798,1.8694944
28.0,41.3658296,2.0996222
31.0,37.162219,-3.6024976
34.0,42.8251409,-1.6493532
37.0,43.40052980000001,-3.8237862
39.0,42.4401799,-8.6567897
40.0,40.470233,-3.940025
41.0,40.623263,-3.587720999999999
42.0,40.4105333,-3.6963003
43.0,41.69593760000001,2.2792747
44.0,41.4849143,1.8589758
45.0,40.5116356,-3.6432838
46.0,40.47295829999999,-3.6633677
47.0,42.46756999999999,-2.43661
48.0,41.54549710000001,2.1131297
49.0,41.4924933,2.0699881
50.0,40.0007055,-0.0227948
51.0,41.4628731,2.0610372
55.0,41.589229,1.583765
57.0,40.4931692,-3.8743932
58.0,42.5900741,-5.569585099999999
61.0,41.5024115,2.3468195
62.0,41.3435845,1.7003706
65.0,39.246716,-0.5352355999999999
66.0,42.1706166,-8.8114707
67.0,43.544887,-5.635880999999999
68.0,41.7237714,1.8343125
73.0,41.4696305,2.0831829
80.0,41.3484868,2.0239681
82.0,40.41154239999999,-3.792679999999999
84.0,41.4628731,2.0610372
88.0,41.5019255,2.1048538
89.0,41.443662,2.079187
90.0,41.589229,1.583765
91.0,42.460731,-2.416053
92.0,40.5272002,-3.6214542
93.0,39.87668,-4.031938000000001
94.0,37.77739500000001,-3.890856
96.0,37.8898568,-4.783656700000001
97.0,39.6343248,2.631838
99.0,39.4842763,2.8901388
102.0,41.6154601,1.8459734
103.0,41.355567,2.121402
104.0,41.56206299999999,2.013871
105.0,41.5788358,1.6265532
107.0,40.4261105,-3.8060975
108.0,41.5390035,2.1103312
109.0,41.485358,2.187988
110.0,41.5759282,2.0248701
117.0,41.082092,1.134005
120.0,41.7324886,0.4394347
122.0,41.5587181,2.0248364
124.0,41.9561734,2.8193523
125.0,41.3733741,2.0812769
126.0,41.506432,2.389349
127.0,41.0742995,1.0516848
128.0,41.4240632,1.7911217
130.0,41.2526573,1.5545741
131.0,41.6819418,-0.8867775999999999
132.0,41.9594288,2.8228124
135.0,41.849817,3.1349674
136.0,41.56150419999999,2.0167685
138.0,41.3828055,2.0888186
139.0,41.63376299999999,1.9979411
140.0,41.3797475,2.0931229
141.0,41.81358549999999,2.0956896
142.0,28.14735,-15.5329287
143.0,39.4692592,-0.35232
144.0,40.4342706,-3.6893051
147.0,40.6099356,-3.707685
148.0,40.61423,-3.718259999999999
149.0,41.5307,1.38321
150.0,37.3582106,-5.9870385
152.0,41.7003497,2.719536
153.0,41.538872,2.110015
154.0,28.5122339,-16.2904635
156.0,41.4603293,2.0703115
157.0,42.8142568,-1.6432837
160.0,43.321805,-3.123786
161.0,41.9120325,1.675391
162.0,43.314192,-1.9802515
164.0,41.49833,2.1785899
166.0,41.3155991,2.082495
167.0,40.4653065,-3.6483376
171.0,38.6777117,-6.396116
172.0,42.4391548,1.9336796
173.0,28.1019428,-15.4498286
177.0,41.2048706,1.1448981
178.0,28.4857355,-16.3207024
179.0,37.6224883,-0.965889
181.0,41.9312098,2.2456476
189.0,41.409422,2.1989034
190.0,39.5495484,-0.3891098
193.0,41.93302870000001,2.797955
197.0,40.9363706,-4.1098362
198.0,37.2923274,-1.8771376
199.0,42.8142332,-1.6408252
200.0,38.8773998,-6.9666172
201.0,41.9273762,2.2531929
202.0,41.5499266,2.0217178
204.0,42.3566015,-3.6904943
205.0,42.8251409,-1.6493532
207.0,42.345025,-7.809455000000001
209.0,41.9679236,2.8379201
210.0,36.8393321,-2.4587461
211.0,41.3557233,2.0246903
212.0,40.623263,-3.5877209
213.0,41.486036,2.079194
214.0,42.21329,-8.6931545
215.0,41.8137407,3.0588683
218.0,28.4696373,-16.2500078
219.0,41.3486366,2.0705131
221.0,42.79132999999999,-1.6249273
223.0,36.7443967,-4.560593
225.0,43.2155437,-3.1337135
226.0,40.433202,-3.639432
231.0,42.8389445,-2.6741692
233.0,41.5107339,2.0913214
235.0,37.14776200000001,-3.602071
236.0,41.82355829999999,1.8985131
237.0,43.4922417,-8.205696099999999
238.0,40.4189645,-3.7117806
239.0,39.1895709,-0.5305086999999999
243.0,41.579424,2.0327899
244.0,41.7244637,1.8183417
246.0,39.8763599,-4.032633
247.0,41.6525537,-4.7216322
249.0,40.52709,-3.6295169
252.0,40.4570185,-3.6750005
254.0,28.6046681,-17.7784298
255.0,36.686798,-6.137468000000001
256.0,43.3680162,-8.4034748
259.0,41.6260902,-4.7734057
262.0,37.827577,-0.7792344999999999
265.0,41.8137407,3.0588683
267.0,42.428756,1.92708
270.0,36.8379422,-2.4611346
272.0,36.7134613,-2.8005931
273.0,39.65445860000001,2.5693337
274.0,41.388004,2.1132804
275.0,41.6181671,0.6310768999999999
